,,Antwerpen,BrabantWallon,Brussels,Hainaut,Limburg,Liège,Luxembourg,Namur,OostVlaanderen,VlaamsBrabant,WestVlaanderen
0,2020-03-15,7,1,7,26,9,4,3,0,5,2,6
1,2020-03-16,10,3,11,28,7,2,0,1,4,13,9
2,2020-03-17,20,3,16,27,22,5,2,0,10,9,11
3,2020-03-18,35,5,18,25,22,13,3,4,24,5,25
4,2020-03-19,42,2,33,32,18,21,10,1,22,10,22
5,2020-03-20,46,4,29,42,31,30,9,11,50,17,25
6,2020-03-21,48,6,40,31,37,38,11,9,52,17,33
7,2020-03-22,51,6,41,37,29,35,8,4,20,20,27
8,2020-03-23,57,3,21,44,24,23,4,9,22,32,29
9,2020-03-24,92,8,52,38,61,28,8,11,51,23,48
10,2020-03-25,107,9,69,46,64,53,10,18,53,31,83
11,2020-03-26,78,7,76,50,54,60,17,13,43,38,58
12,2020-03-27,88,12,93,55,91,75,16,11,53,23,70
13,2020-03-28,131,8,90,84,48,52,15,16,77,47,74
14,2020-03-29,64,7,98,69,62,50,11,22,72,29,61
15,2020-03-30,85,9,53,54,41,66,12,13,78,26,49
16,2020-03-31,85,6,101,54,87,58,6,16,67,22,48
17,2020-04-01,111,5,85,70,46,73,19,20,67,42,61
18,2020-04-02,89,7,107,47,54,88,14,19,56,31,60
19,2020-04-03,75,6,62,46,67,37,15,8,52,26,108
20,2020-04-04,71,7,75,58,43,63,11,12,73,23,66
21,2020-04-05,61,6,66,41,34,32,3,14,41,26,36
22,2020-04-06,56,4,47,32,32,36,11,6,50,17,33
23,2020-04-07,74,5,79,45,45,45,12,15,61,31,63
24,2020-04-08,57,9,68,52,59,53,12,39,48,22,45
25,2020-04-09,65,9,80,67,42,49,13,26,49,22,45
26,2020-04-10,54,5,59,57,45,46,9,17,61,29,49
27,2020-04-11,59,5,43,64,47,39,8,15,53,17,42
28,2020-04-12,41,8,49,40,24,18,3,8,26,20,40
29,2020-04-13,35,2,37,25,23,20,6,10,31,14,41
30,2020-04-14,44,2,31,34,30,8,10,9,39,11,35
31,2020-04-15,40,2,45,29,32,31,7,7,43,18,63
32,2020-04-16,41,2,46,63,35,19,7,17,40,21,22
33,2020-04-17,51,2,47,48,31,26,4,10,32,21,34
34,2020-04-18,24,0,38,42,41,37,7,7,35,13,21
35,2020-04-19,33,2,36,30,27,25,3,9,27,13,22
36,2020-04-20,30,0,18,46,12,12,1,17,20,6,22
37,2020-04-21,38,3,27,53,22,31,7,8,28,17,28
38,2020-04-22,24,0,44,49,14,23,3,14,20,7,18
39,2020-04-23,29,3,36,34,12,21,7,5,19,9,29
40,2020-04-24,34,2,36,41,22,24,2,4,17,14,25
41,2020-04-25,36,4,30,27,28,4,4,7,29,16,18
42,2020-04-26,15,1,26,22,16,11,2,7,17,4,9
43,2020-04-27,27,0,24,23,7,11,3,6,12,5,11
44,2020-04-28,27,0,25,20,14,19,0,13,14,13,20
45,2020-04-29,25,2,26,29,26,14,6,6,21,10,20
46,2020-04-30,23,3,30,24,17,17,1,9,8,7,14
